sentiment	productId	userId	summary	text	helpfulY	helpfulN
1	B005K4Q1VI	A10E57QZ4GJ32F	keurig hot chocolate	great deal, especially for the price. Item arrived quicker than anticipated. This has saved me many trips to Dunkin Doniuts as well as saving me paying double the price for a cup of hot chocolate that's just as good. Looking for more to stockpile!	0	0
1	B000G6RYNE	A1LFB8KRBI9IE2	Eating them for years.	I found these more than 10 years ago in a health food store. After I bought one bag I found myself stopping by that store once a week to get these chips. The New York Cheddar flavor is so good, you will have a hard time not eating a whole bag.	1	0
1	B000SATIZA	A23Q4B6O6E8GZ9	Davidson's Tea Bulk, Herb Pure Org Hibiscus	Now THIS is the product that is the PURE hibiscus and is the one I shall continue buying through Amazon.  For those who have high blood pressure issues, I totally recommend drinking hibiscus tea every day.  I drink it because I like it and because I DON'T want high blood pressure.	2	0
1	B001LGGH40	A17OYW896EY37V	Switch Kiwi Berry	I really enjoyed the Switch Kiwi Berry.  I was looking for an alternative to soda and this really filled that niche for me.  This flavor was very pleasant in my opinion, but that is a personal thing that everyone will have to decide on their own.  The Switch is 100% juice so you can feel good about giving it to your family and it is carbonated so the kids will think they are getting soda, a win win situation! Although it may be a little high in sugar, that is because it is fruit juice, not because it is loaded with corn syrup etc etc.<br />I would recommend this product and feel very comfortable giving it to my grandaughter.	0	0
1	B0062A87HA	A254BUBXXIFJIC	Great Product...No dents in cans	This pumpkin was great.  Not watery like some other reviews and my shipment didn't have any dented cans.  Thanks Amazon!	1	0
-1	B0030VBRIU	A36OZXMZWPBZAG	Formula changed; mostly corn now; yuck	My son used to love the Chick Chick, Gobble Gobble, and Super Salmon. But they changed the recipe, and now it's more corn than anything else. Taste is bad too. Nutrition value is lower. He doesn't like it, and neither do I. I am totally pissed.	4	0
1	B001L1KH6Y	A3W23ZSGMZ8D7S	Price keeps going up	I love this coffee but I am not sure what has happened to the price lately I used to get this exact product on average for about 15 dollars and the price has skyrocketed to $40.  I am hesitant to buy this product again for this price	0	0
1	B006N3IG4K	AKLY1OQXAPD7X	Wonderful K-cups	The Wolfgang Puck Coffee, Chef's Reseerve Columbian Decaf is fantastic and very delicious.  I definitely recommend this product to anyone who wants a great cup of coffee.	0	0
1	B001FA1JN6	A3K6I223PR0PMX	Better Tea	For the last year, our Tassimo machine has made only tea, as all the coffees are greatly lacking. Instead we buy imported German coffees which are the best in the world.<br /><br />We use 3 Teas: #1, the Best is Twinings Earl Grey<br />  #2, next best is Twinings Green Tea<br />  #3, next best is Tazmo Awake Black Tea.<br /><br />These teas are all great & if you can get some good natural North Dakota honey to put in them, you will like them even more.	1	1
-1	B001G5L4US	A2SAC6IMXCRXKZ	buster	The burgers were very dry, and they were cooked on the grill, I would not reccomend buying, although there was no fat in the burgers, I still would not suggest them!!	0	0
1	B004391DK0	A2PJYTDF5FRMAK	AMAZING	So grateful for this!! What an amazing mix. It can be used to make some of the best gluten free products out there. What a break through for us gluten free individuals who miss REAL mixes. Some of the other ones on the market just dont do the trick like this does :)	0	0
-1	B003EML8PM	A3M07VHNUZYW83	You have to be really desperate	After reading all the positive reviews, I was really looking forward to finally getting a very low carb (somewhat low calorie) snack that I can work into my low carb living.  I've had pork rinds from the stores and thought they were pretty good, so I expected this to be at or better than my local convenience store brand.  Wrong.  I was first disappointed with the texture.  After following the instructions to microwave from 1-2 minutes, some (about 1/4) were crispy, but the rest were almost like taffy and would stick to the teeth?  Perhaps I didn't cook long enough, so 2nd bag stayed in longer which made a few more crispy, but more burnt and chewy ones.  But texture is only 1/2 the problem, the biggest issue was that the product taste like the bag. The taste of the microwave bag seems to bake into the product giving them a paper bag taste.  Finally,those without the full paper bag taste didn't really have a lot of flavor.  They were salty (which is to be expected),but that's really all the flavor you get.  So if your desperate and too lazy to get out a store (or can't find any in a near by store), this may work for you.  It  works out to about $1.00 a bag, so I'm not totally disappointed as my dog loves them.  By the way, my dog gives them 5 stars.	1	2
1	B000I1RHMU	A1DBC47OWOILTQ	Yum!	This is one of my favourite teas.  My mom had picked up some a couple summers ago so that I'd have some tea to drink while visiting her.  I've had a horrible time finding it locally.  I've been drinking Stash's black chai spice instead, which also makes a nice cuppa, but the black and green blend has a nice, gentle flavour that is just marvelous.	9	0
-1	B0006J6GWG	A3OXI3QOJ82P4P	Beefeaters® Chicken Liver Freeze Dried Treats for Dogs	"Would have rated no star if available.  Beefeaters® Chicken Liver Freeze Dried Treats for Dogs, are a product of China, and irradiated ""for your protection"" according to the company's hold message.  Called Amazon.com customer service, and requested a full refund with pre-paid returned shipping.  Too bad none of this is in the product description.  Amazon CSR was very helpful, and very cooperative, postage paid shipping label received via email immediately.  Thank you, Amazon.com!"	5	0
1	B000G6RYNE	ARONI7W0W677H	Fresh, Lightly-Spiced, Crunchy Kettle Chips. Good Value, Good Product.	After buying bags one at a time (at a hefty markup) at nearby stores, I decided to try bulk ordering some snack foods on Amazon. I was very pleased with the price and the products.<br /><br />These jalapeno kettle chips are not overly spicy; they have a slow-building spice that starts very subtly a grows if you eat the whole bag, which I'm embarrassed to say I did quite a few times.<br /><br />The chips arrived well-packed and fresh. They had nearly a year of time before they expired, which is pretty impressive for chips.<br /><br />Most importantly, the price-per-bag was much, MUCH better than any local store could do, although I live near an expensive city, so that may play a role in the price difference.<br /><br />I wouldn't hesitate to order another box of these once I run out.	0	0
1	B001JK27ME	A2GDOLEDJVOWC1	Mild and Enjoyable	I have been trying different types of green tea to find one that is not too overpowering and where i can still reap the benefits of drinking green tea.  this one is it.  i put a packet of splenda in the equivalent of 2 1/2 cups of tea and even when i steep for up to 30 minutes (i get sidetracked when getting ready for work in the mornings) it is great, much more tolerable and less viscus than sencha.  i think i could even drink this one with no sweetener added.	1	0
1	B000KOSDY6	A2V0VG2G7K5VZL	chi chi's corn mix	All the Chi Chi's closed in my area.  I was able to get this mix at the grocery store, but lately it has not been on the shelves. I am so happy to have found it on Amazon.  This mix is awesome.  Great for taco night!!!	0	0
1	B006F2NYI2	AF50D40Y85TV3	Great Hot Sauce and people who run it!	Man what can i say, this salsa is the bomb!! i have all the different kinds. i have it with almost every meal. the owner is a cool dude, He's dropped off free bottles to me in my mailbox. i stole the first bottle out of a friends fridge after i tasted and been hooked since. dont sleep on this hot sauce!!	1	0
1	B002QWP89S	A5PUP1GCDQAVM	Greenies...yum!!!	Between 11:30 and noon every day, my dog starts to hound us for his one a day Greenie! He loves them, and they have his veterinarian's approval. This is a great product...I've used it for years. The site is easy to navigate, and delivery is always prompt.	0	0
1	B000X9NRKS	A1B867Z5GTU2LI	Can't live without them!	Every morning like clock work right after their breakfast my two dogs have to have these . They love them! They argee with them very well.	0	0
1	B000K8ESBY	A1RYTIMIWPDJ4O	Coffee flavoring	"<a href=""http://www.amazon.com/gp/product/B000K8ESBO"">Flavour Creations Coffee Flavoring Tablets, French Vanilla, 48-Count Dispensers (Pack of 6)</a>Excellent product -- highly recommend.  Used for more than 3 years and am finding it harder and harder to find."	0	0
1	B000I4QTSK	AEDDQEJYPMSGZ	Lots and lots of gum!	Very large sized package.  Well worth the money.  Chiclets have such a good flavor.  I just wish the flavor would last a little longer.  But I knew that going in to the purchase...	0	0
1	B0000VM8Y0	A3XVDQMDMD9GB	great vanilla	Good fragrance and taste - great in cooking - and a drop or two in a paint can makes your walls smell great, too!	4	0
1	B00008JOL0	A38RDZ7AXT6XIB	My dog loves these	These are just great overall treats that my dog loves. Easy to break apart to make them last longer. My cats like them too.	0	0
-1	B006N3I84I	A37ERQQJ71PT9T	Defective seal	The coffee had a nice bold, flavor, but the foil on the cups were not properly sealed, and I mean all of the cups. Every brewing left grounds in the cup and sometimes made a complete mess because the water wasn't going through the brew tip.  The flavor of the coffee was not enough to warrant a better rating because we get this product for convenience and easy clean up, as much as for the flavor.	0	0
-1	B0040BESXK	A1R0U5L6R85K5M	Great food, but with the October 2012 price increase, not sure it's a good value.	UPDATED REVIEW (10/7/2012):  I am disappointed to see that Merrick increased the price of this food 50%!  The 8-pound bag used to be $8.69, but is now $16.00 and some change.  Whole Earth Farms is supposed to be an affordable way for responsible pet owners to feed their pets Merrick quality, but it seems Merrick has decided to up the ante based on this food's popularity.  I'm very disappointed by the decision and may have to switch back to my previous brand.<br /><br />ORIGINAL REVIEW:  After deciding to switch from Nutro Max to Merrick Whole Earth Farms Adult Dry Dog Food, my dog literally does circles when it's time to eat.  The food is loaded with good stuff for my dog and it even smells better than our previous brand.  It obviously tastes better, too, because my dog just can't contain himself when it's time to eat.  His coat is shinier and seems really healthy, and on a semi-gross note, but important one, his stools have been much smaller; that tells me his body is absorbing more of the nutrition in this food than the last one.  I actually ended up reducing his food portion because he was gaining a little weight.  That's always a sign of a good dog food...the ability to feed less and the dog still receive great nutrition; that tells me there are much fewer fillers in this food than most.  I recommend you try it.	4	0
-1	B0030VBRIU	A2IRI9FQ3Y2THO	Smells and looks like cat food	"I purchased two boxes of this because previously I had purchased Happy Baby Chick Chick and my daughter loved it.  When I opened this pouch up I couldn't believe the smell and texture of the ""food"".  It smells just like cat food because it's fish.  And the texture is just like canned cat food.  I have two boxes of this that I can't use because my daughter gags as soon as I bring the spoon up to her mouth.  I don't blame her, I'm gagging as soon as I tear the package open.  The nutritional facts are outstanding but they need to make it taste and look better.  The Happy Baby Chick Chick is an actual hearty puree with pieces of chicken and pasta.  This is not even close."	1	2
1	B000G1X45G	A3HIBUY8VEUONW	Best Coffee in the U.S.	My husband and I recently moved here from Las Vegas to Steeler Nation. We have tried ever coffee on the shelves at all the supermarkets far and wide. We had been drinking Yuban for at least 10 years in Las Vegas. We called the District Manager for Kraft and found out that East Coast people don't like it or were not accustomed to it. West of the Mississippi is where you'll find it. So we had to order by the case load to satisfy our drinking pleasure. We got the best deal from<br />Amazon; and it arrived very quickly without paying anything extra in shipping fees.  Time to order it again!!	0	0
1	B000N62EKK	A38O3HBCYKNZ2N	BEST treats...	Best treats for anysize dog. No matter how large or small.  We give these to our local humane society as well.  They dont have the option of purchasing such hi quality treats.  our 45 pounder herding dog loves them.  and the small dogs think they are steaks... nearly jump 5ft for a piece.  dry and greasless and break easily.  can put directlly into pocket without concerns of residue transfer. my favorite and the dogs too.	1	0
1	B0029K5536	A3M5PXJAZEEPYY	Coffee review	I think Folgers is an excellent coffee choice. I have been drinking it ever since I have been drinking coffee, about 30 years. It is good at the beginning of the pot and just as good at the end of the pot.	0	0
-1	B000CONMBS	A2164D1E63LWBX	FDA Recalled this product after I received my order.	I hate returns.  FDA product recall come out after product was received.  In order to get a refund, product was to be shipped to Manufacture.  Someone at Amazon was able to refund the purchase without this hassle.  For that I'm greatful.  If I had to box, ship and now deal with a third party and the paperwork involved.  I would not have been a happy camper.  Customers should never have to go through a third party with recall issues.  I didn't, hope none of your other customers had to go through a maze to return product.<br /><br />Note:  Product tastes good.  At least when I have bought it at health food stores.  Didn't get to try my order from Amazon due to recall.	4	12
1	B0016FY6H6	A1R9YRTB6JQFWK	Great taste and convenient	This has a great rich taste. Remember this is ground whole leaf, so the tea is stronger than you may expect.  Not overly sweet and dissolves readily.  I use it during workouts mixed with ice water in a Polar bottle.	0	0
1	B000084ETV	A235XFQ4XRFBTW	Why mess with success?	My 20-month-old Toy Fox Terrier mix has been eating Canidae since I adopted her and changed her over from Science Diet, so I don't have an amazing transformation story.<br /><br />However,<br />1. She's only been sick twice to speak of. No unexpected need to go outside NOW or accidents in the house because of illness. What comes out of her is as predictable as the sunrise, albeit somewhat less pleasant overall.<br /><br />2. This 12-pound, high-energy dog eats just under 1 cup a day. A 40-pound bag lasts me about 6 MONTHS, which calculates as less than $7/month for food. Canidae may cost more than better-known brands, but it's a bargain for the improved nutrition and related benefits (see 1 and 3).<br /><br />3. It never occurred to me that it could be because of her food, but it's true she has basically no smell, as others have mentioned. She's in every way glossy, happy, clean, and puppy-like.	6	0
-1	B002YD0AFQ	A3430BFN4JVOSZ	Very Disappointed	"Claxton Dark Fruitcake has been a holiday tradition in our family since the mid 1950's. I ordered it directly from the company this year and when I served it at Thanksgiving, my guests and I thought I must have been fooled by a counterfeit website just claiming to sell Claxton fruitcakes.  It was at best 40% fruits and nuts and consisted of a gummy light colored ""cake"".  I emailed the company and expressed my disappointment.  After several emails back and forth and after today talking to one of the owners, they assured me that it was the original dark recipe.<br /><br />In reading the ingredients, I noticed that corn syrup, sugar and high fructose corn syrup were listed after flour which was the 4th ingredient.  At the very end were listed molasses, spices and 3 artificial food dyes.  High fructose corn syrup wasn't widely available until the mid 1970's to mid 1980's, so I'm not sure how it was one of the original ingredients.<br /><br />All of the people I talked to seemed to have the attitude that I was so stupid that I couldn't possibly be observing what I had correctly. Although they offered to send replacements if I returned it at my own expense, they told me that what I would receive would be identical to what I have.  One of the owners informed me that they had received zero complaints this year.<br /><br />I am grieving the loss of an almost 55 year tradition, but the other 4 cakes are now in the trash."	1	1
1	B0045Z6K50	AN979WZ568YNW	Really Good Coffee	I like strong coffee.  My husband doesn't.  I use this with 8 oz.  He uses it with 12oz.  We both like the taste.	0	0
1	B005C3IVN8	A3B6OOPXPAI4VZ	Buy It!	I buy it over and again and keep it on hand because I have never had any maple syrup that is any better for the price. And even spending a lot more money has never delivered me any better product.	0	0
-1	B0016PKA1C	A19OAB9Y3GT3SO	Save your money!	I rarely write reviews, but these pods are so awful, I was hoping to save even one person from wasting their money like I did.  The little green plug barely stays in -- even after twisting it -- so the water is always sloshing out.  And the clear plastic cover is absolutely the worst design.  It is nearly impossible to remove and actually snapped into shards when I tried to open one of the pods.  (And I can attest that those plastic shards are sharp!)  If you are able to actually open the pod, be prepared for the water to splash out from the bottom.  Even if the pods actually worked well and preserved the herbs (which they don't really do), they would not be worth the aggravation or cost.  Like another reviewer said, just put your herbs in a cup with a little water in the bottom and a plastic bag covering the top.  Works perfectly and costs nothing.  Please don't waste your money on this!	1	0
1	B00141UC9I	A1Q98GWIC8OQHZ	My dog is addicted!!!	My great dane has two torn acls and has arthritis in her hips... and she is ONLY three. Well we have done one surgery and will be doing the second next spring when she is healed. In the mean time I needed to find some DIFFERENT way to provide her with Glucosamine. Since she is so picky I needed something in a treat form. These are her FAVORITE thing to eat! I went to Petco and was going to buy ONE bag for $35 and realized this offer was for THREE bags at the same price. I could not be happier and neither can she. She has only been eating them for three weeks and is not even limping on her surgical knee (its been 8 weeks and it takes 12 weeks to fully heal). Even our vet is surprised she is doing this well and the only change was these treats! I recommend them to anyone who needs to help their pet enjoy their life to the fullest! BUY these! You wont regret it!!!!<br /><br />PS - I also bought the duck and she loves those too :)	1	1
1	B001M09ATY	A3M3CXC2I4JW9T	More,More,More	Sell me more! These things are the perfect breakfast. No, they are just perfect. Better price then the local grocery store and better selection.	1	0
1	B00032IFCU	A2EC2VRPHB9Z6M	Great product	This cocoa was recommended to me by a 84 year old woman who had given me her fudge recipe. She said it was a must. I tried it with my general cocoa product and with this, and this did make the fudge tastier. I plan to use it in all my recipes that call for cocoa.	0	0
-1	B0019QG5CG	A3A03I3P91BGH4	Hmmmm tiny but cute.. lol	Got what looked like a nice size bonsai and well.. If its four years old.. then its the smallest bonsai I have ever seen ..It must have only grown.. a quarter inch a year..Its like a little twig in a pot ..but suppose its ok..We will see.. Anyway got it in the mail..usps .. and its here..Its nice if you like little itty bitty plants.. but I suppose I was expecting something bigger.	1	1
1	B000I200NW	A1XZF9Y0O61CMH	I got the 2-lb Bellagio Chocolate Truffle!	Hey, every culture has their ideal preference in cocoa. Look at the humble Nestle Milo or even Ovaltine---every nation has variations. Made in Singapore or anywhere in Asia is sweeter than their Latino counterpart. Mexicans or Colombians like that strong cocoa taste.<br /><br />Ive also tried Neuhaus, Chirardelli and other store brands, but I prefer Bellagio because there's no need to mix in milk for that smooth Belgian taste.<br /><br />Belgium or European chocolates are different from America's Hersheys brand. Their chocolate mix is not overpowering.<br /><br />Bellagio Chocolate Truffle reminds me of Starbuck's Signature chocolate drink with less calories (thhe company phased out this brand because of high caloric content -- 700 calories for the venti)<br /><br />So if you're on the go or a busy mom like me, Bellagio choco is the best comfort drink this cold season.	1	0
1	B005RF029M	A2BSA73GSG0UFN	Pizza Napoletana Dough Flour ..... Mangia!!	So this stuff is a must have for making true pizza napoletana.  I'm really thrilled that it is so accessible here in the USA.  This flour makes the most silky smooth dough I've ever had the pleasure of getting sticky with, and it has a different (better for pizza) taste than the all-purpose store brand flour.  Sure It costs a little more, it's coming from Italy, but given that you can make about 6 pizzas per bag ... who's counting?  Get this stuff, some D.O.P. tomatoes, grow some basil, and make some Mozarella (okay, I admit, haven't done this one ... yet) but given the first couple items there and you're well on your way to the origins of pizza in Naples, Italy. Is it worth it??? I say Si!!! Mangia!!! (And Taylor's Market always comes through for my home shipments!... Cheers!)	1	0
1	B000PDY3P0	A11P3KTGBGMZR	Awesome product!	This is an excellent product.  It tastes just like movie theater popcorn at a much cheaper cost and the family loves it.  We will continue to order.	0	0
